mean_magnitude,std_magnitude,max_magnitude,mean_phase,std_phase,energy,range_peak,range_mean,range_std,doppler_mean,doppler_std,peak_power,median_magnitude,percentile_25,percentile_75,signal_entropy,zero_crossings,rms_value,peak_to_avg_ratio,kurtosis_value,doppler_centroid,doppler_bandwidth,doppler_symmetry,num_doppler_peaks,range_entropy,trunk_limb_ratio,cadence_period,cadence_strength,inst_freq_std,snr_db
0.000398,0.000207,0.001355,-0.036561,1.892250,0.001006,114.000000,0.028622,0.015388,-0.000481,2.466678,0.082873,0.000373,0.000244,0.000533,12.088020,1039.500000,0.000448,3.403088,3.153281,2041.185165,1190.019942,0.990241,0.000000,8.334322,0.054922,5.000000,0.054558,1.503000,12.996204
0.000409,0.000213,0.001446,0.176433,1.715043,0.001063,328.000000,0.028510,0.014512,-0.000131,2.196993,0.083016,0.000386,0.000246,0.000550,12.086050,1103.000000,0.000461,3.537311,3.156809,2043.310058,1184.532053,0.980945,0.000000,8.353733,0.056139,40.000000,0.044396,1.490014,13.075658
0.000401,0.000205,0.001347,0.084250,1.898469,0.001014,364.000000,0.027114,0.014592,-0.000579,2.484162,0.073950,0.000373,0.000246,0.000533,12.093876,1052.500000,0.000450,3.362539,3.190271,2073.473771,1194.247998,0.969477,0.000000,8.334705,0.052033,34.000000,0.025382,1.518808,12.593741
0.000408,0.000211,0.001363,-0.039041,1.861102,0.001054,138.000000,0.026679,0.014257,0.000536,2.343031,0.073816,0.000377,0.000246,0.000543,12.090906,1081.000000,0.000459,3.341563,3.070799,2082.357677,1175.755219,0.988626,0.000000,8.334832,0.047013,65.000000,0.034892,1.493032,12.476379
0.000399,0.000210,0.001258,-0.210330,1.880572,0.001017,99.000000,0.026750,0.014130,0.000833,2.416945,0.075279,0.000371,0.000246,0.000527,12.084530,1089.000000,0.000451,3.152361,3.175886,2041.941977,1182.388445,0.984833,0.000000,8.341030,0.052988,16.000000,0.037740,1.505825,12.965052
0.000439,0.000237,0.001448,0.108501,1.815863,0.001246,306.000000,0.031056,0.017490,-0.000121,2.444375,0.092252,0.000401,0.000263,0.000583,12.076705,1192.000000,0.000499,3.296094,3.423154,2032.570387,1178.172274,1.017795,0.000000,8.313934,0.048868,34.000000,0.081089,1.658181,13.114468
0.000490,0.000445,0.003287,0.190712,1.795489,0.002190,348.000000,0.044035,0.025107,-0.000041,2.350598,0.124643,0.000391,0.000246,0.000560,11.875852,1158.500000,0.000662,6.710571,14.735605,2083.198362,1229.109871,1.132862,0.000000,8.311545,0.051322,17.000000,0.563198,1.627137,15.745797
0.000666,0.000667,0.006099,-0.139940,1.723767,0.004441,220.000000,0.060150,0.031443,-0.000144,2.349596,0.169521,0.000440,0.000281,0.000705,11.748150,1226.000000,0.000942,9.162571,7.949966,2012.103344,1180.166315,0.913242,0.000000,8.350807,0.059965,226.000000,0.445835,1.743792,18.431118
0.000397,0.000206,0.001255,0.029992,1.783998,0.001000,153.000000,0.029346,0.013800,-0.000358,2.332381,0.079706,0.000371,0.000244,0.000527,12.088865,1047.000000,0.000447,3.162233,3.208490,2040.014203,1189.422246,1.015737,0.000000,8.378711,0.052612,56.000000,0.033700,1.498781,12.826368
0.000403,0.000212,0.001407,-0.015038,1.820821,0.001038,152.000000,0.028615,0.014812,0.000304,2.323764,0.074288,0.000373,0.000246,0.000541,12.084624,1041.500000,0.000456,3.489607,3.373247,2022.595898,1171.722665,1.016414,0.000000,8.344229,0.052607,14.000000,0.048794,1.493998,12.916472
